texto;opcion1;opcion2;opcion3;opcion4;correcta
¿Cuál es la principal fuente de energía para la Tierra?;Viento;Agua;Sol;Geotérmica;Sol
¿Qué fruta es famosa por ser la base del vino?;Manzana;Naranja;Uva;Plátano;Uva
¿Qué planeta es conocido como el Planeta Rojo?;Júpiter;Marte;Venus;Saturno;Marte
¿Cuál es la capital de España?;Barcelona;Madrid;Sevilla;Valencia;Madrid
¿Qué científico formuló la Teoría de la Relatividad?;Isaac Newton;Albert Einstein;Stephen Hawking;Galileo Galilei;Albert Einstein
¿Qué país es famoso por el Taj Mahal?;China;India;Egipto;Grecia;India
¿Cuál es el símbolo químico del oro?;Ag;Fe;Au;Cu;Au
¿Cuál es la flor nacional de Japón?;Rosa;Lirio;Sakura;Tulipán;Sakura
¿Qué instrumento musical tiene cuerdas y se toca con un arco?;Guitarra;Piano;Violín;Flauta;Violín
¿Cuál es la capital de Nueva Zelanda?;Auckland;Wellington;Christchurch;Queenstown;Wellington
¿Cuál es la capital de Sudáfrica?;Ciudad del Cabo;Johannesburgo;Pretoria;Durban;Pretoria
¿Quién fue el primer presidente de los Estados Unidos?;Thomas Jefferson;Abraham Lincoln;George Washington;Benjamin Franklin;George Washington
¿Qué océano separa África de América del Sur?;Pacífico;Índico;Atlántico;Ártico;Atlántico
¿Qué animal es el depredador más grande de los océanos?;Tiburón blanco;Orca;Ballena azul;Calamar gigante;Orca
¿Qué volcán destruyó Pompeya?;Etna;Vesubio;Stromboli;Fuji;Vesubio
¿Cuál es el desierto más grande del mundo?;Sahara;Atacama;Gobi;Kalahari;Sahara
¿Cuál es el continente más frío?;Europa;Asia;Antártida;África;Antártida
¿Cuál es el color primario que falta: rojo, azul y...?;Verde;Amarillo;Naranja;Violeta;Amarillo
¿Qué deporte se juega con un bate y una pelota en un campo de béisbol?;Fútbol;Baloncesto;Béisbol;Tenis;Béisbol
¿Cuál es el país más pequeño del mundo?;Mónaco;Vaticano;San Marino;Liechtenstein;Vaticano
¿Cuál es la capital de Alemania?;Roma;París;Berlín;Madrid;Berlín
¿Cuál es el animal que pone huevos pero es un mamífero?;Ornitorrinco;Canguro;Koala;Panda;Ornitorrinco
¿Cuál es el animal más grande del reino animal (en general)?;Ballena azul;Elefante africano;Calamar gigante;Anaconda;Ballena azul
"¿Qué país es conocido como la ""Tierra del Sol Naciente""?";China;Corea del Sur;Japón;Vietnam;Japón
¿Cuál es el símbolo químico de la plata?;Au;Ag;Fe;Cu;Ag
¿Qué animal es el más rápido del mundo?;Guepardo;Leopardo;León;Halón;Guepardo
¿Cuál es el río más largo del mundo?;Nilo;Amazonas;Yangtsé;Misisipi;Nilo
¿Cuál es el punto más bajo de la Tierra?;Fosa de las Marianas;Mar Muerto;Lago Baikal;Valle de la Muerte;Mar Muerto
¿Cuál es el proceso de convertir un líquido en gas?;Condensación;Evaporación;Fusión;Sublimación;Evaporación
¿Qué es un huracán?;Una tormenta de nieve;Un terremoto;Una tormenta tropical;Un volcán;Una tormenta tropical
¿Qué ciudad es la sede de los Juegos Olímpicos de 2024?;París;Los Ángeles;Londres;Tokio;París
¿Qué animal es el símbolo de la paz?;Paloma;Águila;León;Lobo;Paloma
¿Qué planeta es el más cercano al Sol?;Tierra;Marte;Venus;Mercurio;Mercurio
¿Cuál es la capital de Australia?;Sídney;Melbourne;Canberra;Perth;Canberra
¿Cuántos continentes hay en la Tierra?;5;6;7;8;7
¿Qué país es el hogar de los Juegos Olímpicos de invierno?;Corea del Sur;Japón;Canadá;Noruega;"No hay un único ""hogar"" para los JJOO de invierno"
¿Cuál es el animal nacional de Australia?;Canguro;Koala;Emu;Ualabí;Canguro
¿Cuál es la flor nacional de España?;Clavel;Rosa;Margarita;Jazmín;Clavel
¿Qué planeta es conocido por sus anillos?;Marte;Júpiter;Saturno;Urano;Saturno
¿Qué es la Aurora Boreal?;Un tipo de viento;Un fenómeno de luz en el cielo;Un tipo de planta;Una constelación;Un fenómeno de luz en el cielo
¿Qué país tiene la mayor población del mundo?;India;Estados Unidos;China;Indonesia;China
¿Qué país es la cuna de la democracia?;Grecia;Roma;Egipto;China;Grecia
¿Qué instrumento se utiliza para medir la temperatura?;Barómetro;Termómetro;Anemómetro;Higrómetro;Termómetro
¿Quién pintó la Mona Lisa?;Vincent van Gogh;Pablo Picasso;Leonardo da Vinci;Claude Monet;Leonardo da Vinci
¿Cuál es la moneda de México?;Dólar;Euro;Peso mexicano;Yuan;Peso mexicano
¿Quién fue el primer hombre en pisar la Luna?;Buzz Aldrin;Yuri Gagarin;Neil Armstrong;Michael Collins;Neil Armstrong
"¿Quién escribió ""Don Quijote de la Mancha""?";Gabriel García Márquez;Miguel de Cervantes;Mario Vargas Llosa;Federico García Lorca;Miguel de Cervantes
¿Qué continente es el más poblado?;Europa;África;Asia;América;Asia
¿Cuál es el estado líquido del agua?;Vapor;Hielo;Lluvia;Agua;Agua
¿Qué gas es el más abundante en la atmósfera terrestre?;Oxígeno;Nitrógeno;Dióxido de carbono;Argón;Nitrógeno
¿Cuál es la capital de Canadá?;México;Ottawa;Washington D.C.;Toronto;Ottawa
¿Qué animal es el mamífero más grande del mundo?;Elefante africano;Ballena azul;Jirafa;Oso polar;Ballena azul
¿Qué metal es un buen conductor de electricidad y calor?;Madera;Plástico;Cobre;Vidrio;Cobre
¿En qué país se encuentra la Gran Muralla China?;India;China;Japón;Corea del Sur;China
¿Cuál es el proceso por el cual las plantas producen su alimento?;Respiración;Transpiración;Fotosíntesis;Germinación;Fotosíntesis
¿Cuál es la capital de Italia?;París;Madrid;Roma;Berlín;Roma
¿Cuál es el animal nacional de la India?;Tigre de Bengala;León;Elefante;Pavo real;Tigre de Bengala
¿Qué es un volcán?;Una montaña de hielo;Una abertura en la Tierra;Una cueva subterránea;Un río subterráneo;Una abertura en la Tierra
¿Qué animal es el mamífero más pequeño?;Murciélago abejorro;Ratón;Musaraña;Hamster;Murciélago abejorro
¿Qué es la fotosíntesis?;Proceso de respiración;Proceso de alimentación de plantas;Proceso de crecimiento de árboles;Proceso de descomposición;Proceso de alimentación de plantas
¿Qué océano baña las costas de Argentina?;Atlántico;Pacífico;Índico;Ártico;Atlántico
¿Cuál es el órgano más grande del cuerpo humano?;Cerebro;Corazón;Piel;Hígado;Piel
¿Cuál es la montaña más alta del mundo?;K2;Monte Everest;Kangchenjunga;Lhotse;Monte Everest
¿Qué océano rodea la Antártida?;Atlántico;Pacífico;Índico;Océano Austral;Océano Austral
¿Cuál es la capital de Brasil?;Río de Janeiro;Sao Paulo;Brasilia;Buenos Aires;Brasilia
¿Cuál es el idioma más hablado en el mundo?;Inglés;Español;Mandarín;Hindi;Mandarín
¿Cuál es la sustancia más dura conocida?;Diamante;Grafito;Acero;Hierro;Diamante
¿Qué bebida se obtiene de la fermentación de granos de cebada?;Vino;Cerveza;Ron;Vodka;Cerveza
¿Cuál es la moneda de Reino Unido?;Euro;Dólar;Libra esterlina;Yen;Libra esterlina
¿Qué continente se encuentra al sur de Europa?;África;Asia;América del Sur;Australia;África
¿Quién descubrió América?;Cristóbal Colón;Américo Vespucio;Hernán Cortés;Fernando de Magallanes;Cristóbal Colón
